Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source,Website
Backend Engineer,MANUAL,"London, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4459325278,https://uk.linkedin.com/company/manualco,,,LinkedIn,https://www.themanuallondon.com
Software Engineer,Quantexa,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4422915282,https://uk.linkedin.com/company/quantexa,,,LinkedIn,https://www.quantexa.com
Software Engineer,Deliveroo,"London, England, United Kingdom",2 hours ago,https://www.linkedin.com/jobs/view/4330477975,https://uk.linkedin.com/company/deliveroo,,,LinkedIn,https://deliveroo.co.uk
Software Engineer,Cisco,"London, England, United Kingdom",22 hours ago,https://www.linkedin.com/jobs/view/4414956123,https://www.linkedin.com/company/cisco,,,LinkedIn,https://www.cisco.com
Software Engineer - Commercial Journeys,Compare the Market,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4441489241,https://uk.linkedin.com/company/comparethemarket,,,LinkedIn,https://www.comparethemarket.com
Software Engineer,BigHand,"London Area, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4456943343,https://uk.linkedin.com/company/bighand,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
VoidZero Engineer,Cloudflare,"Greater London, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4456528889,https://www.linkedin.com/company/cloudflare,,,LinkedIn,https://www.cloudflare.com
Software Engineer,Fortice,"London Area, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4459324208,https://uk.linkedin.com/company/forticeuk,,,LinkedIn,https://workingincontent.com
Software Engineer,Stott and May,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4457741937,https://uk.linkedin.com/company/stott-and-may,,,LinkedIn,https://www.stottandmay.com
"Software Engineer, Money Movement",Stripe,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4460574306,https://www.linkedin.com/company/stripe,,,LinkedIn,https://stripe.com
Software Engineers,CGI,"London, England, United Kingdom",4 hours ago,https://www.linkedin.com/jobs/view/4344721661,https://ca.linkedin.com/company/cgi,,,LinkedIn,https://www.cgi.com
Backend Engineer - Contacts Team,Wise,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4458312206,https://uk.linkedin.com/company/wiseaccount,,,LinkedIn,https://wise.com
Software Engineer – AI & Business Solutions,Proactive.IT Appointments Ltd.,"Reading, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4460359946,https://uk.linkedin.com/company/proactive-appointments-ltd-,,,LinkedIn,https://www.proactive.it
Mid Level Full Stack Engineer,Emma - we are hiring!,"Islington, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458408000,https://uk.linkedin.com/company/emma-technologies-ltd,,,LinkedIn,https://uk.jooble.org
Software Engineer - (Typescript & Node),Our Future Health UK,"London, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4454508285,https://uk.linkedin.com/company/our-future-health-uk,,,LinkedIn,https://ourfuturehealth.org.uk
Data Software Engineer,G-Research,"London Area, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4456594393,https://uk.linkedin.com/company/g-research,,,LinkedIn,https://www.gresearch.com
Software Engineer (PX Insights),Akeneo,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458943662,https://fr.linkedin.com/company/akeneo,,,LinkedIn,https://www.akeneo.com
Java Software Engineer,Lockheed Martin,"Ampthill, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4457798046,https://www.linkedin.com/company/lockheed-martin,,,LinkedIn,https://www.lockheedmartin.com
Software Engineer,CreatePay,"Milton Keynes, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4457458998,https://uk.linkedin.com/company/create-pay,,,LinkedIn,https://www.createpay.com
Software Development Engineer (Beacon),Clearwater Analytics,"London, England, United Kingdom",41 minutes ago,https://www.linkedin.com/jobs/view/4459214947,https://www.linkedin.com/company/clearwateranalytics,,,LinkedIn,https://cwan.com
"Software Engineer, Product",Adaptyv,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4459365542,https://ch.linkedin.com/company/adaptyvbio,,,LinkedIn,https://www.adaptyvbio.com
Software Engineer,Revoco,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458951198,https://uk.linkedin.com/company/revoco,,,LinkedIn,https://www.revocohealthcare.com
Software Engineer,JD.COM,"Greater London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4432548750,https://cn.linkedin.com/company/jd.com,,,LinkedIn,https://www.thetimes.com
Software Engineer (EMS),Elwood,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4460373526,https://uk.linkedin.com/company/elwoodtechnologies,,,LinkedIn,https://elwoodlondon.co
Backend Software Engineer,Lloyds Banking Group,"London, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4459300741,https://uk.linkedin.com/company/lloyds-banking-group,,,LinkedIn,https://www.lloydsbankinggroup.com
Software Engineer (PX Insights),Akeneo,"Greater London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458090067,https://fr.linkedin.com/company/akeneo,,,LinkedIn,https://www.akeneo.com
Mid Level Back End Software Engineer,Motorola Solutions,"Uxbridge, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4458295162,https://www.linkedin.com/company/motorolasolutions,,,LinkedIn,https://www.motorolasolutions.com
Software Engineer,Haystack,"London Area, United Kingdom",10 hours ago,https://www.linkedin.com/jobs/view/4459779355,https://uk.linkedin.com/company/wearehaystack,,,LinkedIn,https://haystack.cv
Software Engineer - Crypto Prop Firm,Fionics,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458992189,https://www.linkedin.com/company/fionics,,,LinkedIn,https://fionics.io
Software Engineer,Practicus,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4457797003,https://uk.linkedin.com/company/practicus,,,LinkedIn,https://bebee.com
"Software Engineer, FL",Cloudflare,"Greater London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458024170,https://www.linkedin.com/company/cloudflare,,,LinkedIn,https://www.cloudflare.com
Java/Kotlin Software Engineer - London,Zopa Bank,"London, England, United Kingdom",7 hours ago,https://www.linkedin.com/jobs/view/4036813631,https://uk.linkedin.com/company/zopabank,,,LinkedIn,https://cwg.com
Backend Engineer,Stott and May,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4445724842,https://uk.linkedin.com/company/stott-and-may,,,LinkedIn,https://www.stottandmay.com
Backend Engineer - Ruby,Raylo,"London Area, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4436207077,https://uk.linkedin.com/company/raylo,,,LinkedIn,https://app.welcometothejungle.com
Software Engineer,Aspect Capital,"London Area, United Kingdom",1 hour ago,https://www.linkedin.com/jobs/view/4460022455,https://uk.linkedin.com/company/aspect-capital,,,LinkedIn,https://www.aspectcapital.com
"Backend Engineer, Contacts Team",Auth21,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4459656929,https://br.linkedin.com/company/auth21,,,LinkedIn,https://bebee.com
Mid Level Backend Engineer (Node.js),Emma - we are hiring!,"Islington, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458407088,https://uk.linkedin.com/company/emma-technologies-ltd,,,LinkedIn,https://uk.jooble.org
Software Engineer,eg technology Ltd,"Cambridge, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4448776834,https://uk.linkedin.com/company/eg-technology-ltd,,,LinkedIn,https://www.egtechnology.co.uk
Product Engineer (Windows),Granola,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4404752217,https://uk.linkedin.com/company/meetgranola,,,LinkedIn,https://www.abouttimemagazine.co.uk
"Software Engineer, Compute",Vercel,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4440573753,https://www.linkedin.com/company/vercel,,,LinkedIn,https://vercel.com
Brand Engineer,Lovable,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4449386595,https://se.linkedin.com/company/lovable-dev,,,LinkedIn,https://londonrelocation.com
Software Engineer,Prima,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4298250495,https://it.linkedin.com/company/prima-assicurazioni,,,LinkedIn,https://www.prima.co.uk
Software Development Engineer II,Expedia Group,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4458352496,https://www.linkedin.com/company/expediagroup,,,LinkedIn,https://careers.expediagroup.com
AI Software Engineer,Harrington Starr,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4460365222,https://uk.linkedin.com/company/harrington-starr,,,LinkedIn,https://www.harringtonstarr.com
Software Engineer,Dexters,"Teddington, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458979708,https://uk.linkedin.com/company/dexters-estate-agents,,,LinkedIn,https://www.dexters.co.uk
Golang Engineer,Initialize,"West Sussex, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4456913102,https://uk.linkedin.com/company/initialize,,,LinkedIn,https://bebee.com
Software Engineer,microTECH Global LTD,"Greater London, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4458777038,https://uk.linkedin.com/company/microtech-global,,,LinkedIn,https://haystackapp.io
Windows on Snapdragon Software Engineer,Qualcomm,"Farnborough, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4439871324,https://www.linkedin.com/company/qualcomm,,,LinkedIn,https://www.qualcomm.com
Software Engineer,Proximal,"San Francisco, CA",2 days ago,https://www.indeed.com/viewjob?jk=54f9eafbe25cd87c,,,Strong intuition for building automations and agentic systems; you can design and engineer reliable systems that solve complex tasks.,Indeed,https://www.proximal.so
Software Engineer,Dimensional Insight,"Cambridge, MA",2 days ago,https://www.indeed.com/viewjob?jk=c390dd05cb31d16b,,,"Software engineers at DI are expected to be involved in all aspects of the development cycle, from initial design and specification through development, testing…",Indeed,https://www.dimins.com
Software Engineer,Karen Clark & Company,"Boston, MA 02116",30+ days ago,https://www.indeed.com/viewjob?jk=1d08ba88698e3968,,,"RiskInsight is a distributed application for developing catastrophe risk models and managing catastrophe risk.
MS/BS degree in computer science or equivalent.",Indeed,https://www.karenclarkandco.com
Software Engineer,LeadingAgile,"Duluth, GA 30097",30+ days ago,https://www.indeed.com/viewjob?jk=253d848c9216e71d,,,"Object-oriented design (OOD) and design patterns.
Candidates must have a strong background in software development and Agile methodologies.",Indeed,https://www.mapquest.com
Software Engineers,ClearBlade,"Austin, TX 78744",30+ days ago,https://www.indeed.com/viewjob?jk=e827a3d64f7b4a01,,,ClearBlade is looking for Software Engineers who want to build new features for its IoT Platform.,Indeed,https://www.clearblade.com
Software Developer 2,"BLOC Resources, LLC","Birmingham, AL 35243",4 days ago,https://www.indeed.com/viewjob?jk=a8f6e507178eea68,,,"Apply modern software development practices to create secure, reliable, scalable, and maintainable applications.
Strong analytical and problem-solving skills.",Indeed,https://blocresources.com
Software Developers / Software Engineers,PMG Global,"Herndon, VA 20171",30+ days ago,https://www.indeed.com/viewjob?jk=1fc040d27004edb3,,,All candidates must have a BS degree in Computer Science or equivalent with 3-5 years of experience in Information Technology field.,Indeed,https://rocketreach.co
software engineer,MEDINVENTIVE,"Lafayette, CO 80026",30+ days ago,https://www.indeed.com/viewjob?jk=c9005791fba5717e,,,"3 to 5 years of professional programming experience on Windows or Android platform.
Familiarity with object-oriented analysis and design.",Indeed,https://seamless.ai
Senior Software Engineer,Ron Turley Associates LLC,"Helena, GA 31037",1 day ago,https://www.indeed.com/viewjob?jk=777bb2e54fc04f03,,,"It means using AI as a force multiplier throughout the software development lifecycle: understanding unfamiliar code, exploring solutions, generating and…",Indeed,https://route4me.com
Principal DevOps/Platform Engineer,DISH Network LLC,"Christiansburg, VA 24068",6 days ago,https://www.indeed.com/viewjob?jk=c33140ae3931029a,,,"Mentor junior engineers on test automation, CI/CD practices, performance engineering, and cloud based testing methodologies (5% of the time).",Indeed,https://www.dish.com
Senior Systems Reliability Engineer,The Walt Disney Company (Corporate),"Glendale, CA 91201",11 days ago,https://www.indeed.com/viewjob?jk=9a67ef50e541516a,,,"Collaborate with engineers to ensure services are designed to be cloud-native, scalable, and easily operated.
Build and operate high-quality production systems.",Indeed,https://thewaltdisneycompany.com
Senior Cloud Engineer – AWS,Brooksource,"Scottsdale, AZ 85257",20 days ago,https://www.indeed.com/viewjob?jk=f1e2fb53e56841f2,,,"We offer flexible hiring models, including contract, contract-to-hire, and direct placement to meet your evolving business needs.",Indeed,https://www.brooksource.com
Software Engineer,Synapse Studios,"Tempe, AZ 85281",18 days ago,https://www.indeed.com/viewjob?jk=5d1a126bf42af140,,,"5+ years of professional software engineering experience, with deep backend experience and genuine comfort across the full stack.",Indeed,https://synapsestudios.com
Lead Software Engineer - Full Stack,ilocatum,"Long Island, NY",9 days ago,https://www.indeed.com/viewjob?jk=c7421502b6c833f6,,,"Day to day, this person develops scalable, reliable, testable, and maintainable software across both frontend and backend applications, using a stack that…",Indeed,https://ilocatum.com
AI Ops Engineer,Hewlett Packard Enterprise,"San Juan, PR 00918",4 days ago,https://www.indeed.com/viewjob?jk=2dbbc23704d40ced,,,"5-8 years of experience in IT operations, reliability engineering, platform engineering, or roles focused on AI-driven operations and automation.",Indeed,https://www.bizapedia.com
Senior Embedded Systems Engineer,Leoforce,"Torrance, CA",3 days ago,https://www.indeed.com/viewjob?jk=74037cd0fd26929a,,,#engineering #python #linux #java #embedded-systems #c-c #devops #agile #arm #code-review #debugging #stm32 #pic #avr #device-drivers #micocontrollers #firmware…,Indeed,https://bebee.com
Software Engineer,Motive Energy Storage Solutions,"Victorville, CA 92394",30+ days ago,https://www.indeed.com/viewjob?jk=852374b0b85a8405,,,"Develops a lower level device manager to monitor and control energy devices.
Utilizes IP networking and security for both local control networks and remote…",Indeed,https://network.procore.com
SOFTWARE DEVELOPERS,PY DATA INC,"Piscataway, NJ 08854",30+ days ago,https://www.indeed.com/viewjob?jk=82c28b0d8f7a95d1,,,"Release code from GitHub to production side.
Use Jira for project management and Slack for team communication.
Create a new dashboard screen using SwiftUI.",Indeed,https://pydatainc.com
Software Engineer,Techzion IT Solutions,"Sanford, FL",30+ days ago,https://www.indeed.com/viewjob?jk=327ecef6cbd5f84c,,,"Assist in unit testing, debugging, and performing code reviews to ensure software quality and compliance with functional requirements.",Indeed,https://techzionit.com
Software Engineer,Dyneti,"San Mateo, CA",30+ days ago,https://www.indeed.com/viewjob?jk=b51ead9992eaf2bf,,,You will have the opportunity to work closely with the CEO to build new features and roll out new products - all in the deep learning space.,Indeed,https://www.ycombinator.com
Home Office - Software Engineer I,StorageMart | MMS,"Columbia, MO 65203",25 days ago,https://www.indeed.com/viewjob?jk=20940830942a7ac0,,,"Have some exposure to backend concepts—APIs, databases, or server-side frameworks.
Are familiar with version control (Git) and comfortable with a collaborative…",Indeed,https://www.storage-mart.com
Software Engineer,Modern Life,"New York, NY",30+ days ago,https://www.indeed.com/viewjob?jk=2d7109befeb1d04c,,,"You’ve worked as (and loved being) a founding or early engineer.
Contribute to and lead complex projects, and make business vs technology decisions during all…",Indeed,https://www.modernlife.com
Software Engineer,HRKSolutions,"Frisco, TX 75034",30+ days ago,https://www.indeed.com/viewjob?jk=6661ee7766030fa7,,,"Create state, reducers, actions, effects, selectors and enabled redux based state management for the whole application using Ng Rx 5.",Indeed,https://www.chamberofcommerce.com
Software Engineering MTS,Salesforce,"Bellevue, WA 98004",5 days ago,https://www.indeed.com/viewjob?jk=73f11a773e7e5f54,,,"Deep knowledge of object oriented programming and experience with at least one object oriented programming language (Java, Javascript, C++, C#, Ruby, Python).",Indeed,https://www.salesforce.com
Software Engineer,NBCUniversal,"New York, NY 10112",30+ days ago,https://www.indeed.com/viewjob?jk=4e17cb4428bc9b4e,,,"Proficiency with deploying software to cloud infrastructure (AWS, GCP) using containerization technologies (Kubernetes, Docker).",Indeed,https://www.nbcuniversal.com
Automation Engineer,Expedient,United States,25 days ago,https://www.indeed.com/viewjob?jk=0504ec969938a5ac,,,"Demonstrated, real-world experience using AI coding tools (Claude Code, GitHub Copilot, Codex, Cursor, or similar) to build and ship production software, not…",Indeed,https://expedient.com
Software Engineer Developer,Tano Digital,"San Jose, CA 95128",30+ days ago,https://www.indeed.com/viewjob?jk=03616222f7fd152f,,,"Tracking the issues in a development cycle tracking system.
Location: San Jose - Department: Engineering.
Front and Back End (Full Stack) Development.",Indeed,http://www.tanodigital.com
"Senior Software Developer, Field Delivery",Autodesk,California,Just posted,https://www.indeed.com/viewjob?jk=de26761c3ee631b4,,,Amazing things are created every day with our software – from the greenest buildings and cleanest cars to the smartest factories and biggest hit movies.,Indeed,https://www.autodesk.com
Software Developer (Python),Techzion IT Solutions,"Sanford, FL",30+ days ago,https://www.indeed.com/viewjob?jk=4a02fad49602497c,,,"Apply modern software development practices and best practices for the full software development life cycle, including coding standards, code reviews, source…",Indeed,https://techzionit.com
Software Engineer,TMS International LLC,"Hammond, IN 46323",30+ days ago,https://www.indeed.com/viewjob?jk=59dc62e66323c038,,,"Candidates with strong object-oriented programming experience in C++, C#, or similar development environments are encouraged to apply.",Indeed,https://www.tmsinternational.com
software engineer,Divergent Thinking Engineering Corp,"Rockville, MD 20850",30+ days ago,https://www.indeed.com/viewjob?jk=60dee62a42e95891,,,"EDUCATION AND EXPERIENCE REQUIREMENTS: 0 to 5 years in software development experience.
Solid background in software engineering, object oriented design and…",Indeed,https://www.divergenttec.com
"Software Engineer, GTM",Hyperbound,"San Francisco, CA",1 day ago,https://www.indeed.com/viewjob?jk=fae17f8101624e22,,,"Last quarter we doubled headcount, revenue nearly doubled with it, and net revenue retention landed above 300%.
The engineers here are builders first.",Indeed,https://tracxn.com
Software Engineer,Meijer,"Grand Rapids, MI 49544",5 days ago,https://www.indeed.com/viewjob?jk=c75d9a895f96f071,,,"Strong team-oriented interpersonal and communication skills.
Optimizes and enhances applications and interfaces to meet SLA/functional requirements.",Indeed,https://www.meijer.com
Software Engineer,Candor Infotech,"Sammamish, WA",30+ days ago,https://www.indeed.com/viewjob?jk=2995251390207f82,,,"Responsible for overseeing design and development of software apps.
Please send your resume to our way.
Provide software development expertise and work as a…",Indeed,http://www.candorinfo.com
Software Engineer,App Perfect,"Sunnyvale, CA 94085",2 days ago,https://www.indeed.com/viewjob?jk=6ebbe6aa9d077d38,,,"AppPerfect was started in 2003 to meet the growing needs of software professionals; looking for robust and cost-effective software development, testing and…",Indeed,http://www.appperfect.com
Application Development Software Engineers,Intellitech Corporation,"Rochester, NH 03867",30+ days ago,https://www.indeed.com/viewjob?jk=01212be100a3d13d,,,"Successful candidates will have exceptional communication and teamwork skills and will not be afraid of stretching their talents in a collaborative, continuous…",Indeed,https://www.intellitech.com
Software Engineer III,HORIBA Instruments,"Piscataway, NJ 08854",11 days ago,https://www.indeed.com/viewjob?jk=b964fca482f16fcf,,,"Familiarity with source control systems such as Git, Azure DevOps, or similar tools.
Solid understanding of object-oriented design principles and software…",Indeed,https://www.horiba.com
Software Engineer,Maxpro,"Farmington Hills, MI",30+ days ago,https://www.indeed.com/viewjob?jk=a2811c7d957fbb51,,,Assist in all the phases of Software development life cycle to understand requirements and implement web applications as per specifications.,Indeed,https://www.dnb.com
Software Engineer,JD Software Inc.,"Salem, MA 01970",30+ days ago,https://www.indeed.com/viewjob?jk=ab120ae5dd558cc4,,,"Determine feasibility of software design within project time and cost constraints.
Develop and direct software system testing and validation procedures,…",Indeed,https://leadiq.com
Software Developer,GOCOOL,"Puyallup, WA 98373",30+ days ago,https://www.indeed.com/viewjob?jk=47051bb129accf4a,,,"Troubleshoot, debug and upgrade existing software.
Integrate software components and third-party programs.
Masters in computer science and engineering.",Indeed,http://www.gocoolinc.com
Software Development Engineer,Green Hills Software,"Santa Barbara, CA 93101",30+ days ago,https://www.indeed.com/viewjob?jk=819a993cf17b91b7,,,"Must possess a BS/MS (CS, ECE, Math) at the time of starting employment.
The US base salary range for this full-time position is $127,000 - $146,000 + bonus +…",Indeed,https://www.ghs.com
Software Engineer,Simplex Trading,"Chicago, IL",30+ days ago,https://www.indeed.com/viewjob?jk=d53111119704a7fc,,,"Computer science or engineering degree or real world experience.
Work on our system from trading algorithm development, to high speed data analysis, and…",Indeed,https://simplextrading.com
Software Engineer,InfoSmart Systems,"San Jose, CA",30+ days ago,https://www.indeed.com/viewjob?jk=8b6526fca98a5404,,,"Experience: Exp. to include Pega PRPC, Java, CSS, and SQL.",Indeed,http://www.infosmartsys.com
Software Engineer,Zeropoint Dynamics,"Chapel Hill, NC",30+ days ago,https://www.indeed.com/viewjob?jk=91c58066a8ad928c,,,The ideal candidate is a hands-on platform builder with significant experience in developing customer-oriented software.,Indeed,https://www.zeropointdynamics.com
Software Engineer,Garda Capital Partners,"New York, NY",30+ days ago,https://www.indeed.com/viewjob?jk=f34d07d697a0ed0d,,,"The selected candidate will join the team responsible for designing and building systems that support our risk managers, including risk analytics, exposure…",Indeed,https://www.gardacp.com
Software Engineer (Python),AnySignal,"Los Angeles, CA",30+ days ago,https://www.indeed.com/viewjob?jk=1edce7fc605bdc3b,,,"Develop and maintain a Python software framework for engineers to write automated tests.
Build UIs that interface with hardware and software systems.",Indeed,https://www.anysignal.com
Software Engineer,VROne inc,"Jersey City, NJ",30+ days ago,https://www.indeed.com/viewjob?jk=c790661f9b529734,,,"Responsible for overseeing design and development of software applications:
Provide software development, expertise and work as a team lead to maintain and…",Indeed,http://www.vroneinc.com
Software Developers,ABOTTS,"Irvine, CA",30+ days ago,https://www.indeed.com/viewjob?jk=90be65bac1ebcad6,,,"Technical system designs, including softw architecture,modules, components, interfaces, database design; Design and Dvlp apps / app interfaces.",Indeed,https://abotts.com
Software Engineer,MeritFirst,"Austin, TX",5 days ago,https://www.indeed.com/viewjob?jk=9275ccbf6c54e5db,,,"You’ll move from a short initial screen to a conversation with a team member, a deeper role-relevant technical exercise, and final-round conversations focused…",Indeed,https://www.meritfirst.us
Junior Software Engineer,Valkyrie Trading,"Chicago, IL 60605",30+ days ago,https://www.indeed.com/viewjob?jk=724cb109877329b7,,,"Direct mentoring from senior software engineers.
Bachelor’s degree or a strong foundation in computers and programming.",Indeed,https://www.allbiz.com
Software Developer/Engineer (Python),Eniac Systems,"Edison, NJ 08817",30+ days ago,https://www.indeed.com/viewjob?jk=5b60e8ae6dda20c1,,,"Closely follow software development best practices to maximize the predictability and success of project(s).
Document new development, procedures or test plans…",Indeed,http://www.eniacsys.com
"Software Engineer, Full Stack",Tesla,"Fremont, CA",30+ days ago,https://www.indeed.com/viewjob?jk=25ebdbd6c6149d6e,,,"Partner with data and machine learning engineers to deploy interactive solutions into production through agile, rapid iteration cycles, while championing best…",Indeed,https://grokipedia.com
Software Developer,Agiletal,"Herndon, VA 20170",30+ days ago,https://www.indeed.com/viewjob?jk=d4b74bbdd8f7ad5d,,,"Follow and support agile methodologies and engage in daily status meetings and provide transparency, advocated by the project and BCBSNC.",Indeed,https://www.agiletal.com
Software Developers/Software Engineer,ABOTTS,"Irvine, CA 92606",30+ days ago,https://www.indeed.com/viewjob?jk=37c858fcb8db6942,,,"Work with Vlocity/VEEVA CRM, CPQ, EPC, GIT, Jenkins (Hudson), FlowSum, COPADO, DevOps.",Indeed,https://abotts.com
Software Engineer,North Star Imaging,"Rogers, MN 55374",30+ days ago,https://www.indeed.com/viewjob?jk=76dc39740c60e1f1,,,"Experience with Agile software development.
Create technical design, implementation and training documentation that describes new software functionality.",Indeed,https://www.chamberofcommerce.com
Software Engineer,Closinglock,"Austin, TX 78701",30+ days ago,https://www.indeed.com/viewjob?jk=31c44c8d8a66cd81,,,"Experience with Python or other object oriented programming languages.
Experience with software testing, TDD, and unit testing.",Indeed,https://www.closinglock.com
Software Engineer II,Honeywell Aerospace,"Aguadilla, PR",6 days ago,https://www.indeed.com/viewjob?jk=b9d4ac12baa78b57,,,"You will contribute to the design, coding, testing, and debugging software applications, ensuring they meet the highest standards of quality and performance.",Indeed,https://www.cybo.com
Software Engineer I (MPDE),TE Connectivity,"Webster, NY 14580",3 days ago,https://www.indeed.com/viewjob?jk=182cad1271a85628,,,"Internship, co-op, academic project, or research experience involving software development.
Working under the guidance of senior engineers, the Software…",Indeed,https://www.te.com
"Senior Software Engineer, Gen AI",Caterpillar,"Chicago, IL 60622",3 days ago,https://www.indeed.com/viewjob?jk=b2424bb5ef9f6f79,,,"Deploying software using GitHub Actions or similar.
Software Development Life Cycle: Extensive knowledge of the software development life cycle; ability to use…",Indeed,https://www.caterpillar.com
Software Engineer,Brandes Associates Inc.,"Point Mugu, CA",24 days ago,https://www.indeed.com/viewjob?jk=d528a43667911709,,,"3+ years' experience with .net, C#, JavaScript, containers, and microservices architecture.
Manage version control workflows in Git, implementing branching…",Indeed,https://www.brandesassociates.com
Software Engineer,Hewlett Packard Enterprise,"Westford, MA 01886",4 days ago,https://www.indeed.com/viewjob?jk=edb88db6dcb67ada,,,"Familiarity with object-oriented design and programming principles.
The Subscriber Management feature set provides high scale, highly available network access…",Indeed,https://www.bizapedia.com
